75: 1475.791992, 1480.420166 avg, 0.000000 rate, 2.814368 seconds, 600 images
76: 1462.790894, 1478.657227 avg, 0.000000 rate, 2.815577 seconds, 608 images
77: 1437.013672, 1474.492920 avg, 0.000000 rate, 2.815145 seconds, 616 images
78: 1411.326172, 1468.176270 avg, 0.000000 rate, 2.813050 seconds, 624 images
79: 1387.429321, 1460.101562 avg, 0.000000 rate, 2.818405 seconds, 632 images
80: 1364.080444, 1450.499512 avg, 0.000000 rate, 2.817559 seconds, 640 images
81: 500.592285, 1355.508789 avg, 0.000000 rate, 1.067740 seconds, 648 images
82: 491.469269, 1269.104858 avg, 0.000000 rate, 1.144948 seconds, 656 images
83: 480.745758, 1190.268921 avg, 0.000000 rate, 1.144530 seconds, 664 images
84: 471.371368, 1118.379150 avg, 0.000000 rate, 1.141277 seconds, 672 images
85: 462.284058, 1052.769653 avg, 0.000000 rate, 1.144930 seconds, 680 images
86: 452.538147, 992.746521 avg, 0.000000 rate, 1.145139 seconds, 688 images
87: 445.398468, 938.011719 avg, 0.000000 rate, 1.141107 seconds, 696 images
88: 435.335022, 887.744019 avg, 0.000000 rate, 1.145064 seconds, 704 images
89: 427.265717, 841.696167 avg, 0.000000 rate, 1.144771 seconds, 712 images
90: 418.087006, 799.335266 avg, 0.000000 rate, 1.142255 seconds, 720 images
91: 666.982361, 786.099976 avg, 0.000000 rate, 1.652605 seconds, 728 images
92: 651.067200, 772.596680 avg, 0.000000 rate, 1.760099 seconds, 736 images
93: 647.506287, 760.087646 avg, 0.000000 rate, 1.755358 seconds, 744 images
94: 625.674805, 746.646362 avg, 0.000000 rate, 1.758046 seconds, 752 images
95: 613.971924, 733.378906 avg, 0.000000 rate, 1.754937 seconds, 760 images
96: 595.007019, 719.541748 avg, 0.000000 rate, 1.758936 seconds, 768 images
97: 582.974670, 705.885010 avg, 0.000000 rate, 1.758586 seconds, 776 images
98: 568.282837, 692.124817 avg, 0.000000 rate, 1.754645 seconds, 784 images
99: 553.944702, 678.306824 avg, 0.000000 rate, 1.761239 seconds, 792 images
100: 536.408142, 664.116943 avg, 0.000000 rate, 1.758378 seconds, 800 images
101: 268.448730, 624.550110 avg, 0.000000 rate, 0.943164 seconds, 808 images
102: 261.714172, 588.266541 avg, 0.000000 rate, 1.012798 seconds, 816 images
103: 254.696320, 554.909546 avg, 0.000000 rate, 1.014133 seconds, 824 images
104: 246.911469, 524.109741 avg, 0.000000 rate, 1.009117 seconds, 832 images
105: 242.117722, 495.910553 avg, 0.000000 rate, 1.012802 seconds, 840 images
106: 234.365036, 469.756012 avg, 0.000000 rate, 1.014879 seconds, 848 images
107: 229.596451, 445.740051 avg, 0.000000 rate, 1.009546 seconds, 856 images
108: 222.014999, 423.367554 avg, 0.000000 rate, 1.013519 seconds, 864 images
109: 216.182297, 402.649017 avg, 0.000000 rate, 1.013281 seconds, 872 images
110: 211.254959, 383.509613 avg, 0.000000 rate, 1.009913 seconds, 880 images
111: 250.673691, 370.226013 avg, 0.000000 rate, 1.075029 seconds, 888 images
112: 242.922333, 357.495636 avg, 0.000000 rate, 1.146043 seconds, 896 images
113: 237.339447, 345.480011 avg, 0.000000 rate, 1.143897 seconds, 904 images
114: 228.925919, 333.824615 avg, 0.000000 rate, 1.147614 seconds, 912 images
115: 226.154465, 323.057587 avg, 0.000000 rate, 1.145172 seconds, 920 images
116: 217.003311, 312.452148 avg, 0.000000 rate, 1.144955 seconds, 928 images
117: 211.567261, 302.363647 avg, 0.000000 rate, 1.147071 seconds, 936 images
118: 206.144958, 292.741791 avg, 0.000000 rate, 1.144312 seconds, 944 images
119: 201.667038, 283.634308 avg, 0.000000 rate, 1.147984 seconds, 952 images
120: 197.005676, 274.971436 avg, 0.000000 rate, 1.146361 seconds, 960 images
121: 263.915894, 273.865875 avg, 0.000000 rate, 1.448274 seconds, 968 images
122: 255.585220, 272.037811 avg, 0.000000 rate, 1.546960 seconds, 976 images
123: 243.903809, 269.224426 avg, 0.000000 rate, 1.546850 seconds, 984 images
124: 237.646164, 266.066589 avg, 0.000000 rate, 1.543422 seconds, 992 images
125: 226.850510, 262.144989 avg, 0.000000 rate, 1.547511 seconds, 1000 images
126: 219.108368, 257.841339 avg, 0.000000 rate, 1.547313 seconds, 1008 images
127: 211.870605, 253.244263 avg, 0.000000 rate, 1.543960 seconds, 1016 images
128: 202.890442, 248.208878 avg, 0.000000 rate, 1.547406 seconds, 1024 images
129: 193.844955, 242.772491 avg, 0.000000 rate, 1.547834 seconds, 1032 images
130: 189.262665, 237.421509 avg, 0.000000 rate, 1.544448 seconds, 1040 images
131: 207.869568, 234.466309 avg, 0.000000 rate, 1.654288 seconds, 1048 images
132: 199.014221, 230.921097 avg, 0.000000 rate, 1.761583 seconds, 1056 images
133: 189.380692, 226.767059 avg, 0.000000 rate, 1.757170 seconds, 1064 images
134: 180.994720, 222.189819 avg, 0.000000 rate, 1.761413 seconds, 1072 images
135: 171.416061, 217.112442 avg, 0.000000 rate, 1.760987 seconds, 1080 images
136: 164.212570, 211.822449 avg, 0.000000 rate, 1.758536 seconds, 1088 images
137: 153.080948, 205.948303 avg, 0.000000 rate, 1.760652 seconds, 1096 images
138: 148.436615, 200.197128 avg, 0.000000 rate, 1.760352 seconds, 1104 images
139: 138.168182, 193.994232 avg, 0.000000 rate, 1.757346 seconds, 1112 images
140: 131.305298, 187.725342 avg, 0.000000 rate, 1.761027 seconds, 1120 images
141: 63.941837, 175.346985 avg, 0.000000 rate, 0.946327 seconds, 1128 images
142: 61.224396, 163.934723 avg, 0.000000 rate, 1.014244 seconds, 1136 images
143: 57.740261, 153.315277 avg, 0.000000 rate, 1.014586 seconds, 1144 images
144: 55.832767, 143.567032 avg, 0.000000 rate, 1.010465 seconds, 1152 images
145: 52.610516, 134.471375 avg, 0.000000 rate, 1.014650 seconds, 1160 images
146: 48.817112, 125.905945 avg, 0.000000 rate, 1.014610 seconds, 1168 images
147: 48.217567, 118.137108 avg, 0.000000 rate, 1.011166 seconds, 1176 images
148: 44.288364, 110.752235 avg, 0.000000 rate, 1.014856 seconds, 1184 images
149: 41.498852, 103.826897 avg, 0.000000 rate, 1.014411 seconds, 1192 images
150: 41.036739, 97.547882 avg, 0.000001 rate, 1.011166 seconds, 1200 images
151: 76.258194, 95.418915 avg, 0.000001 rate, 1.655178 seconds, 1208 images
152: 70.409607, 92.917984 avg, 0.000001 rate, 1.761723 seconds, 1216 images
153: 67.869972, 90.413185 avg, 0.000001 rate, 1.758989 seconds, 1224 images
154: 67.401024, 88.111969 avg, 0.000001 rate, 1.760721 seconds, 1232 images
155: 62.291199, 85.529892 avg, 0.000001 rate, 1.760539 seconds, 1240 images
156: 57.433430, 82.720245 avg, 0.000001 rate, 1.757200 seconds, 1248 images
157: 54.879818, 79.936203 avg, 0.000001 rate, 1.761804 seconds, 1256 images
158: 51.160114, 77.058594 avg, 0.000001 rate, 1.762487 seconds, 1264 images
159: 49.488033, 74.301537 avg, 0.000001 rate, 1.757565 seconds, 1272 images
160: 47.872322, 71.658615 avg, 0.000001 rate, 1.762439 seconds, 1280 images
161: 45.182671, 69.011024 avg, 0.000001 rate, 1.653304 seconds, 1288 images
162: 41.881550, 66.298080 avg, 0.000001 rate, 1.757122 seconds, 1296 images
163: 39.046814, 63.572952 avg, 0.000001 rate, 1.758847 seconds, 1304 images
164: 38.011330, 61.016788 avg, 0.000001 rate, 1.758051 seconds, 1312 images
165: 34.375008, 58.352612 avg, 0.000001 rate, 1.774295 seconds, 1320 images
166: 31.778000, 55.695152 avg, 0.000001 rate, 1.935131 seconds, 1328 images
167: 30.228678, 53.148506 avg, 0.000001 rate, 1.938531 seconds, 1336 images
168: 27.741817, 50.607838 avg, 0.000001 rate, 1.868927 seconds, 1344 images
169: 28.995918, 48.446648 avg, 0.000001 rate, 1.855677 seconds, 1352 images
170: 26.716995, 46.273682 avg, 0.000001 rate, 1.805008 seconds, 1360 images
171: 19.105652, 43.556877 avg, 0.000001 rate, 1.333248 seconds, 1368 images
172: 19.016994, 41.102890 avg, 0.000001 rate, 1.446478 seconds, 1376 images
173: 16.154720, 38.608074 avg, 0.000001 rate, 1.446690 seconds, 1384 images
174: 15.793508, 36.326618 avg, 0.000001 rate, 1.432025 seconds, 1392 images
175: 15.131318, 34.207088 avg, 0.000001 rate, 1.478648 seconds, 1400 images
176: 14.716619, 32.258041 avg, 0.000001 rate, 1.458303 seconds, 1408 images
177: 14.908381, 30.523075 avg, 0.000001 rate, 1.493037 seconds, 1416 images
178: 12.312770, 28.702045 avg, 0.000001 rate, 1.462044 seconds, 1424 images
179: 12.223243, 27.054165 avg, 0.000001 rate, 1.448166 seconds, 1432 images
180: 11.412886, 25.490036 avg, 0.000001 rate, 1.408801 seconds, 1440 images
181: 22.083134, 25.149345 avg, 0.000001 rate, 2.307737 seconds, 1448 images
182: 19.979120, 24.632322 avg, 0.000001 rate, 2.445510 seconds, 1456 images
183: 17.318703, 23.900961 avg, 0.000001 rate, 2.445845 seconds, 1464 images
184: 17.331421, 23.244007 avg, 0.000001 rate, 2.443932 seconds, 1472 images
185: 15.778795, 22.497486 avg, 0.000001 rate, 2.450173 seconds, 1480 images
186: 16.025753, 21.850313 avg, 0.000001 rate, 2.449125 seconds, 1488 images
187: 13.900846, 21.055367 avg, 0.000001 rate, 2.446049 seconds, 1496 images
188: 14.435857, 20.393415 avg, 0.000001 rate, 2.446718 seconds, 1504 images
189: 12.763659, 19.630440 avg, 0.000001 rate, 2.448416 seconds, 1512 images
190: 11.846428, 18.852039 avg, 0.000001 rate, 2.446204 seconds, 1520 images
191: 10.286812, 17.995516 avg, 0.000001 rate, 1.969350 seconds, 1528 images
192: 10.104183, 17.206383 avg, 0.000001 rate, 2.089161 seconds, 1536 images
193: 8.510799, 16.336824 avg, 0.000001 rate, 2.090369 seconds, 1544 images
194: 8.685755, 15.571717 avg, 0.000001 rate, 2.091644 seconds, 1552 images
195: 8.006025, 14.815148 avg, 0.000001 rate, 2.093940 seconds, 1560 images
196: 9.117920, 14.245425 avg, 0.000001 rate, 2.087506 seconds, 1568 images
197: 7.786576, 13.599541 avg, 0.000002 rate, 2.093083 seconds, 1576 images
198: 7.405639, 12.980150 avg, 0.000002 rate, 2.088905 seconds, 1584 images
199: 6.444692, 12.326605 avg, 0.000002 rate, 2.088236 seconds, 1592 images
200: 6.606265, 11.754571 avg, 0.000002 rate, 2.092748 seconds, 1600 images
201: 7.454830, 11.324596 avg, 0.000002 rate, 2.678362 seconds, 1608 images
202: 7.919488, 10.984085 avg, 0.000002 rate, 2.837674 seconds, 1616 images
203: 6.644438, 10.550120 avg, 0.000002 rate, 2.837972 seconds, 1624 images
204: 6.764890, 10.171597 avg, 0.000002 rate, 2.842151 seconds, 1632 images
205: 6.132141, 9.767652 avg, 0.000002 rate, 2.839611 seconds, 1640 images
206: 5.493746, 9.340261 avg, 0.000002 rate, 2.842865 seconds, 1648 images
207: 4.819266, 8.888162 avg, 0.000002 rate, 2.836139 seconds, 1656 images
208: 5.600378, 8.559383 avg, 0.000002 rate, 2.843192 seconds, 1664 images
209: 6.564235, 8.359869 avg, 0.000002 rate, 2.843545 seconds, 1672 images
210: 5.214325, 8.045315 avg, 0.000002 rate, 2.840288 seconds, 1680 images
