Region 82 Avg IOU: 0.068205, Class: 0.582199, Obj: 0.139047, No Obj: 0.617790, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.376882, Class: 0.587856, Obj: 0.684795, No Obj: 0.610719, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.101126, Class: 0.323129, Obj: 0.422434, No Obj: 0.618801, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.388282, Class: 0.331927, Obj: 0.485989, No Obj: 0.618835, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.068445, Class: 0.650011, Obj: 0.724451, No Obj: 0.617029, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.091709, Class: 0.589082, Obj: 0.416290, No Obj: 0.621137, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.152870, Class: 0.702380, Obj: 0.533808, No Obj: 0.617447, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.100353, Class: 0.276393, Obj: 0.939255, No Obj: 0.615923, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.237270, Class: 0.830689, Obj: 0.682673, No Obj: 0.611136, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.584145, Class: 0.260666, Obj: 0.799902, No Obj: 0.617408, .5R: 1.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.416058, Class: 0.672920, Obj: 0.609780, No Obj: 0.615827, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.129708, Class: 0.630636, Obj: 0.377801, No Obj: 0.614385, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.014844, Class: 0.445028, Obj: 0.565384, No Obj: 0.618413, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.070368, Class: 0.412251, Obj: 0.616066, No Obj: 0.620466, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.039823, Class: 0.452496, Obj: 0.441190, No Obj: 0.617841, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.214906, Class: 0.557399, Obj: 0.488273, No Obj: 0.618018, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.110830, Class: 0.661526, Obj: 0.273487, No Obj: 0.617986, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.063666, Class: 0.493362, Obj: 0.179263, No Obj: 0.616327, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.476074, Class: 0.316201, Obj: 0.709462, No Obj: 0.611675, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.402202, Class: 0.179706, Obj: 0.212474, No Obj: 0.621434, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.162258, Class: 0.112955, Obj: 0.553919, No Obj: 0.617837, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.043365, Class: 0.494972, Obj: 0.584534, No Obj: 0.612842, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.214649, Class: 0.473698, Obj: 0.963526, No Obj: 0.614440, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.066518, Class: 0.467830, Obj: 0.294516, No Obj: 0.618024, .5R: 0.000000, .75R: 0.000000,  count: 1
